dataset,seed,num_points,dimensions,algorithm,eta,covering_number,runtime_seconds
MNIST_Subset,69,5000,784,Uncovered-First,2.1484618600607934,4848,0.03884288200060837
MNIST_Subset,69,5000,784,Farthest-First,2.1484618600607934,4864,0.06971538799916743
MNIST_Subset,69,5000,784,Greedy,2.1484618600607934,4838,0.0853528740008187
MNIST_Subset,69,5000,784,Uncovered-First,1.61921315692121,4979,0.0419762930014258
MNIST_Subset,69,5000,784,Farthest-First,1.61921315692121,4978,0.0741931319989817
MNIST_Subset,69,5000,784,Greedy,1.61921315692121,4975,0.08948156199949153
MNIST_Subset,69,5000,784,Uncovered-First,1.0899644537816267,5000,0.03983780599992315
MNIST_Subset,69,5000,784,Farthest-First,1.0899644537816267,5000,0.07063405900044017
MNIST_Subset,69,5000,784,Greedy,1.0899644537816267,5000,0.08853150799950527
MNIST_Subset,69,5000,784,Uncovered-First,0.5607157506420432,5000,0.04196679200140352
MNIST_Subset,69,5000,784,Farthest-First,0.5607157506420432,5000,0.073102698999719
MNIST_Subset,69,5000,784,Greedy,0.5607157506420432,5000,0.08785428400005912
